theta_hash,n,completion_assemblies,valid,lam_settle,beta,gamma,th0,k_i,eta_w,del_w,th_write,rho_b,a_init,b0,th_act,t,determinism,completion,reinforcement,contradiction,forgetting,diff_integrity,all_pass,completion_recall,completion_contamination,failures
6543d23ec7e7b0b7b33bd34671fa6d704b649b41500d8b4794accebbbe143f20,512,12,false,0.2,0.8,0.6,1,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
b49d2de3dc362ba5ec5697778df37c65da0b57d7c378d9160a8795f8763b100a,512,12,false,0.2,0.8,0.6,1,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
ef25580c5cfbecbb83fb357e48ae3f84c24799bdea7a92b958211346791966b8,512,12,false,0.2,0.8,0.6,1,3,0.05,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
c3c0d4fc2d3376daf3601fed24116b5b8e2eb5615441924677988f345512ac16,512,12,false,0.2,0.8,0.6,1,3,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
1e72b09d1b47f95a08a35264137b7475c189f1891ab3fc1cb00b62d4dfd44918,512,12,false,0.2,0.8,0.6,1,3,0.15,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
716d0e4515e7bff4d3ee4938177b4a54b46c0473918bffed7aaa4f3d7d3e9645,512,12,false,0.2,0.8,0.6,1,3,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
518dc19ec96e32e3ccb647e822b9ccf2a4ec10e28a8a16d538f9a92bd715fe67,512,12,false,0.2,0.8,0.6,1,3,0.3,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
94ed1002250be05ca6d1e1fe326015befb382ee3b13bc9d4528cda548d1532e1,512,12,false,0.2,0.8,0.6,1,3,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
913a5de07527bdfd3d24ca2670182e741312004a1dbd4905ae5e7a342df8b7bd,512,12,true,0.2,0.8,0.6,2,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
4c0c601afbefa567ec916635f7b1e75ab7591fe022e4da74e4be294b68f21d88,512,12,true,0.2,0.8,0.6,2,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
8e07b6db96520a166aba581c0d1424e478d93079854cd19b6eb669243666a509,512,12,true,0.2,0.8,0.6,2,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
c53e5f6c62bbb2beb7bd130bd4689a91eea05ff567256ed0988c2b436c5e3bd5,512,12,true,0.2,0.8,0.6,2,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
ab946371c765fb14dfaca82f9bc4af35edbe53502c789bbec1798ac3c78d9d69,512,12,true,0.2,0.8,0.6,2,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
aefb4a10727ccdfdc5e165525f6b79fb2bef4c0151370980ab08e17472e5b01a,512,12,true,0.2,0.8,0.6,2,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f1ddbb7bd10a0e24928c6aec6396e877309ed3ddb26257f0ceda1420ceab5e9c,512,12,true,0.2,0.8,0.6,2,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;contradiction:did not open on fourth alternating write"
1841e57565ecf384c1c3a058ccbe35af56080ba7751e90d4d4115c15b447b15c,512,12,true,0.2,0.8,0.6,2,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;contradiction:did not open on fourth alternating write"
4699b8b9870ee1ec801b4c83d0dab47424ddbee1cd624889d13475a98cf3d837,512,12,true,0.2,0.8,0.6,2,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;contradiction:did not open on fourth alternating write"
4d78c7101c6927c5aa91f0681a725089748b716e5ee2bedd7d354871553b086d,512,12,true,0.2,0.8,0.6,2,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;contradiction:did not open on fourth alternating write"
189f959096aa8ea39d01d8cd688db198a2f17968d01ac4b7e30365fbf23f549f,512,12,true,0.2,0.8,0.6,2,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,true,true,false,true,true,false,1.000000,0.000000,"contradiction:did not open on fourth alternating write"
5d1b0fb880627af021dfd157003d28623cf9c5db5f76dd679ba31a0fa3c4c273,512,12,true,0.2,0.8,0.6,2,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.083333,0.000000,"completion:recall=0.0833, contamination=0.0000;contradiction:did not open on fourth alternating write"
974d01b0a81db42099064f61df3f2236e855b3dc18922dc793db85e7f7fb6091,512,12,true,0.2,0.8,0.6,2,3,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000"
d363feb83a832d408a5d0a008c1d38aa15a4da29784788b52d65aadcb180525c,512,12,true,0.2,0.8,0.6,2,3,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000"
bcd3dc05a0f76fce9dd867271fb03470cf2662eb0bbb78559264e32542aacb39,512,12,true,0.2,0.8,0.6,2,3,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000"
c52f54a92dd63605690ce872c2bd7aa5cc31e8d4d3c6da7e2cea57956a170c11,512,12,true,0.2,0.8,0.6,2,3,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000"
e772419debea0775706b09443a0e5999dc68580ad850254bcc735e7e5e6b3d83,512,12,true,0.2,0.8,0.6,2,3,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,true,true,true,true,true,true,1.000000,0.000000,""
acd497e47d1a3cf75402c6c1f2b0fe3081f57add7cdf6031fc90e4b80e40bb93,512,12,true,0.2,0.8,0.6,2,3,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.333333,0.000000,"completion:recall=0.3333, contamination=0.0000"
71a3b77e80c9b34f3c3dceb715600b4d4596dd8aad93fb3a36d004f72e254334,512,12,true,0.2,0.8,0.6,3,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
caeb83229d35e0d11970ed4b4b1c78fac3bc999651bbb38b0408911d8e888fdc,512,12,true,0.2,0.8,0.6,3,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
0b620e5f79f8543116781f98d23f7bb6e00acb51d900e8358bf71b666e1c76ad,512,12,true,0.2,0.8,0.6,3,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
6649b0647862fa3885fb5669308fc1b6b5132f88b1cf6982d843321f10d85528,512,12,true,0.2,0.8,0.6,3,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
aa772ed0e718b23c28240c8132adbdbbc0217614648c35c5955f551bd39d374a,512,12,true,0.2,0.8,0.6,3,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f4c5c726e58136c0f224b7314456c9771d0401b5e0a2f71cdd08498774ab82ef,512,12,true,0.2,0.8,0.6,3,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
d24e0c397653ad75ae3427ca3f9cfc74d73767bf03d5e427b3ac227bd5e043c8,512,12,true,0.2,0.8,0.6,3,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
5951bf68fa91ea2aba5aeedca72f43066bd735928ce9eff38115a39cc07294cc,512,12,true,0.2,0.8,0.6,3,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
529cf218adcba0a85bf75da849da71c10f4676550b5209e1d21610912a172ce9,512,12,true,0.2,0.8,0.6,3,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
7ae38a41b565902e94f403368b159e7e732f8e820812ff15ed83eb8fc1550196,512,12,true,0.2,0.8,0.6,3,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
d6ec640b1b9a92b0d40ce217a41ecbd1b54994147e6730904a7155971747e318,512,12,true,0.2,0.8,0.6,3,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
9f8e6376d3bdfd649812935929db407cf019dee8df28dbe969f7c47bc8827c1c,512,12,true,0.2,0.8,0.6,3,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f018d30aefed03cd3d35376fc59c61d8177fe63ff34a4e05af7ef69a17562386,512,12,true,0.2,0.8,0.6,3,3,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
e57a74b84390d8221385740e46eab1a9c28d27f0649b08ede5082bfd13018da9,512,12,true,0.2,0.8,0.6,3,3,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
0470f2e041a077eb9371bab0bf285ff9f10cb8fecf74b945157a67efa456b40b,512,12,true,0.2,0.8,0.6,3,3,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
80dcea70372196753bc13fcb65e4230f288f83377d6ceffb81c4450248151bd5,512,12,true,0.2,0.8,0.6,3,3,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
1e61b2591a4119f092195a1fad0374ed4ebbeb14a2f7819881dcded96935de1a,512,12,true,0.2,0.8,0.6,3,3,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
45be82354e5d13bbcaa1d378199426286616a5172ddce9382c517ea7414a5879,512,12,true,0.2,0.8,0.6,3,3,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
7dbe1aab8175b84546630b6f52c183d30d9dbac31d4cc4d3b0f6cb12df097000,512,12,true,0.2,0.8,0.6,4,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
8b0840d48380e90bc15641184ef6370d2c33e2589ccbcd543a75065893f17b12,512,12,true,0.2,0.8,0.6,4,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
0fe857e1d233ffbac0af8f488bc3c7ef77bc4c197bd5da3a4043293a10a58bf3,512,12,true,0.2,0.8,0.6,4,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
7732bcd2a64108e9f0000a71417375d1968fd32a7ce4508a3cd5f82a2a5f95a1,512,12,true,0.2,0.8,0.6,4,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
169b30329d2472c09e065c92a1f25f152d9d7624d18d90323f92406390f9d567,512,12,true,0.2,0.8,0.6,4,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
47d88d197853d70cd60c4924bfbf9d4ba684280eac30db0d4120034d94893082,512,12,true,0.2,0.8,0.6,4,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
39d38c08d78dcc9d11b2d8aa80485a906ad254239a0fff3c57d66937313f3c91,512,12,true,0.2,0.8,0.6,4,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
838775e0adcaf0055deda2fce5cd1cb9d42002310fa15cb05f57bdf7cba0f287,512,12,true,0.2,0.8,0.6,4,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
907518a71ad1fb4eed61c131014997c1aa9d5dbc0fdd07c0c82333e027b2668d,512,12,true,0.2,0.8,0.6,4,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
9b9c39852bfd989068e8be0009462d87ffa257fa45ebcd3330cb10783b5f873e,512,12,true,0.2,0.8,0.6,4,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
77d2fe4b4f684f030b247d2ec47f6f51a148f3e6e250171f4f939ed5578cc51b,512,12,true,0.2,0.8,0.6,4,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
0899d3f10d52c2b9677ad766bfe1aed95cd43a200377af92266a803962e0c9ed,512,12,true,0.2,0.8,0.6,4,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
5fa0bf0508872baf60df0f924e411105acf684b63bd66e28b88b5f72c097b9a7,512,12,true,0.2,0.8,0.6,4,3,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f17809b0d2923efe441fc95307cd5f18267564925a5fc08e4b161500b28039be,512,12,true,0.2,0.8,0.6,4,3,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
bb07e49a106a8a7fe296c87eca63caefc7d38c171c4a7104f4f5ebd390fe9982,512,12,true,0.2,0.8,0.6,4,3,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
eb193e22a5b1f655d61f0db9499027c657e512db15f4d22031cefc1b9509574a,512,12,true,0.2,0.8,0.6,4,3,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
8bf3535970df704ceb73f16b0d86610bf84bbd59d0e9a6b6fb279c8edc7c6306,512,12,true,0.2,0.8,0.6,4,3,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
dcbd61c42bf81d5e22683d39de7b078fbe0fb3549e64b6f5ae6d2c93af3f923f,512,12,true,0.2,0.8,0.6,4,3,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
691c03d12a3cdacbd088c2b0371203eab92254e027e58be66778be3802037216,512,12,false,0.2,0.8,0.9,1,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
e8678efe6db3b0d600a8cc8978133643a616c63072ce081cab4efb0a64dc90f5,512,12,false,0.2,0.8,0.9,1,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
f25324c486cb74cd52f8f4cb48e1c944f28dbe35acfc35ea298adcb5afd2d65c,512,12,false,0.2,0.8,0.9,1,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
47eb6df729d3ae4ac0d96225e8e45ab6c867ed8e68ba1af9684d73037ff6592e,512,12,false,0.2,0.8,0.9,1,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
c1b35d5e770693d52cc9f2f4353b339a4e7814482d1779d6e0fd41430872e202,512,12,false,0.2,0.8,0.9,1,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
91786bbc085c264e94d85f0da444ff990ed8889c3191199147652413cf69fb88,512,12,false,0.2,0.8,0.9,1,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
5a95279dbb497b49d6711b364e272d811e4e6ef8c0341023c82b4faf9c6d4603,512,12,false,0.2,0.8,0.9,1,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
7b8dcb7d534b27060eb856d092409f5164c05599297089012c139fc1e4a0462a,512,12,false,0.2,0.8,0.9,1,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
2ab1a1ca20129d92d0cab1a7d54e761ec0bbc78cb003551eed7575315021e717,512,12,false,0.2,0.8,0.9,1,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,false,false,false,false,false,false,false,0.000000,0.000000,"invalid:theta violates A15c resting-field invariant: beta*sigmoid(-th0)/(1-lam_settle) = 0.26894143 >= th_act 0.25"
