theta_hash,lam_settle,beta,gamma,th0,eta_w,del_w,th_write,rho_b,a_init,b0,th_act,t,determinism,completion,reinforcement,contradiction,forgetting,diff_integrity,all_pass,completion_recall,completion_contamination,failures
4d1c776fe7cdf1db21bff5bd5d4f8e79c7a1508cc15753a176d97320092b838d,0.2,1,0.6,1,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
4c4a5c23dd21776d527d3885e85b818a5cdd4ce610b7d0a45b6d0768ce651fff,0.2,1,0.6,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
6a9b499480c37592df940403aa84aab56415d4e43501ebfa890b3260e587e07c,0.2,1,0.6,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
b75b4e4d17097be9193f527fe1422659968ed3177f9b12c34dbfa6492f06db0c,0.2,1,0.6,1,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
fdd9dcfee7c5915a084ffa803c5f0a21f7a4b8e510842e399521589d8773f43e,0.2,1,0.6,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
12cd5a61e14f144629a11e392fac5f490f7297df0f3fdda0916494da8c5b2f27,0.2,1,0.6,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
5fa88eff9c3d32de2679aa0b5516465d19fa00f9bfbd76b9a5f845b9aa77c0e6,0.2,1,0.6,1,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
feeadd0cfc9493705d3552c2f0ca30470b583f66f0a1e2895a1d42a84318e67e,0.2,1,0.6,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
534867f706950cb85210465a8307e680b550acfcc6a37771264c8f226d615f56,0.2,1,0.6,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
ba03acdf3c4322a05cc22201f25fafd527f6d2d6e9d83c55788d9942a9b158fb,0.2,1,0.6,2,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
1b11fd88296d23a8f2863d10ee85b97a85a4b443b9fee5ac368deab8b9089158,0.2,1,0.6,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
b29cf7316761dfc0be0b8312d753b450a4820cbd7e7a7c69818ac817180873bd,0.2,1,0.6,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
2a3ca6611e88d864b8c461303b648e845d8884015519d8ee2ca940e54b4fa3d3,0.2,1,0.6,2,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
5181189a77c7c6bec94a41ed815228da0cc02b79e3647d8f7cc97d70a36987d1,0.2,1,0.6,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
b49dd0e7521c22b8eab05c181f3dadd050fd858d439b71b6bbd3a4ca9591955a,0.2,1,0.6,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
26e94af260d6ebca8c8474a1882def36d122382da4f81145195f349fab7c00e7,0.2,1,0.6,2,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
c4d6481c2e04cd71e8dec509e87b5b134c589c5a3d20b6daf5d42cd733f024c6,0.2,1,0.6,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
da54dc315d70c27f47ab828a28d9f6904420820d70b2674a2e10e70d6a19799f,0.2,1,0.9,0.5,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
45cb332a0f2173c0b3d73b363a48487d394277fd86cef673b7c01dd4e6ed9447,0.2,1,0.9,0.5,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
b60cf11989950e96f47618a2f3045d6346b83b14c72836dc10adee9023f5dbd5,0.2,1,0.9,0.5,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
43e3d4315ce325f49912f8a584442d8c81950fe7a2e66027d3bf3e58e83f751b,0.2,1,0.9,0.5,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
a287efb84eaf12cfcf20739ee2342b904abd0b40ca9c37b93c28ce02713c504d,0.2,1,0.9,0.5,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
a033ceb229d11c7e6cfc47fe8270b13beb8d9fd10027fa31ecf05dbca9dd6fe3,0.2,1,0.9,0.5,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
78642f9b194615db8326967c1841f738aced6446669969e253160c1ea3a318a3,0.2,1,0.9,0.5,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
cd9d28359b57861b723a5c3e6054ffa8c802f70965fd63e83a346394c3ae9e40,0.2,1,0.9,0.5,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
0458c0d400d9f2598becb2c0f7cedc3ffe18f648e0e9489f2c961f550e68e5e8,0.2,1,0.9,0.5,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
b5510c20de4f462af2d331549aafb24b4aa7431c46c15f8926e06003490f183b,0.2,1,0.9,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
1ded711a84da50ec7d1f1ac8e93c1ad2e446886a4d22bbbbaabcdf5a430a9348,0.2,1,0.9,1,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
f4e8c4932b54572292768ae323885d95cdd08ab871545bccef858c52cf048a0d,0.2,1,0.9,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
ab9d0368122961529b7fd06f9296e60064cd02ce3ffd04f3690a5307ea8fb8f2,0.2,1,0.9,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
3c0297437db02ae616b2474eb0c3731c21ce8110408b93e9cf68a3dd4b91277e,0.2,1,0.9,1,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
b947ecfa6ec36b60b17af66560d2859069c5eaccdf864ded62407c3b67129a6d,0.2,1,0.9,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
5ade2d69040772541f23234b8b3679d519c4b4c54fa2a98114d57c71a670d3bc,0.2,1,0.9,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
333dc8570d2aa949aff993ac4f6e266d452b8d5124995a121aff89ff39b0180d,0.2,1,0.9,1,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
c7277453153477ed56e7764d97f61fa88314047dfbfe6e29d6c28fb03033bff1,0.2,1,0.9,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
086972b516a76458eafaa73b08477f8a088cc6544c60344092cb51c8c5bf8921,0.2,1,0.9,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f66f007a8421c3b9bb6db8ab7698b21074780edfba29fe552c2dc733d2091255,0.2,1,0.9,2,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
945ca9756067e1c7cc5ed3814e49f5a9083b1daa83ae1cc5e5d69f274b5d1d94,0.2,1,0.9,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
ca97c7b408c79af056200cac281c70d54802e972bc8e431ee50de69eebca7c4e,0.2,1,0.9,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
cd69bb74608bae8c800d1bb1af9dcd8c107656751c630f62b49f3a08c8a1dac2,0.2,1,0.9,2,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
01e33dcbeedb74e0ba8c482309070728936a20c62182e0860b0d07201f4c5615,0.2,1,0.9,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
f053a7df21c3cb14048918953ea134b3dda6175063f713e143f0bb8ab3c36ab3,0.2,1,0.9,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
e2dd473b95efad3047e5ef4dd1a26aff6d97186b3953783994e841d9a61259b1,0.2,1,0.9,2,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
25555431248bd1524db4eef97542b22422b0c96a1da1beb3f15cbdb4b842ca14,0.2,1,0.9,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
90955591475bb004c1712d2784752aaed3dd55a159af9be5d919d8571a4d8a81,0.2,1,1.2,0.5,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
8c2bba1c9199198ed9fc627fec720598b7bd79d1a67df94f115e34beea2c8e3d,0.2,1,1.2,0.5,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
c93ad73df74d302eb4fcdaf8a7b7f512ae6c15ae8aee2007aa42d2921281ed20,0.2,1,1.2,0.5,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
1ffbd5d9312cd26c60abd3985d7196ac0bd51d11082e81b1ef09b76502dfe9ff,0.2,1,1.2,0.5,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
3a6a428c2177adfd0a8edf318c2e896837abfe06340b7124b94f8b5a221880c6,0.2,1,1.2,0.5,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
76ae6c89b127f1f030bb49daa938de444a0bfa5c6285c9ea7fa9e99975718619,0.2,1,1.2,0.5,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
490d9780b1ba6d11c6f6fe3abb0f30d4aec1849e96bc7b96a351ccc66d148c77,0.2,1,1.2,0.5,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
3935e646d92543bd0dd8dc9b04f0bdcebf871052ff786491281d727a93ec55b1,0.2,1,1.2,0.5,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
5cc89b30bc9e494daf96bd2a277c20587df6cbf7217f5512041e58224b0c08f5,0.2,1,1.2,0.5,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667;contradiction:did not open on fourth alternating write"
79e345030173d18384890eb028ab6edc90702a5d0c8b677095f8a208ebe8316a,0.2,1,1.2,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.266667,0.966667,"completion:recall=0.2667, contamination=0.9667;contradiction:did not open on fourth alternating write"
aceeca74540698040b191174eb5d4eaa12b005167129346161872e602a139ca0,0.2,1,1.2,1,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.300000,0.966667,"completion:recall=0.3000, contamination=0.9667;contradiction:did not open on fourth alternating write"
a38de067f43b3c9b0dfe38e9529cf85c5012cd73ea1c0a00b5e9544e7cd17f38,0.2,1,1.2,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.300000,0.966667,"completion:recall=0.3000, contamination=0.9667;contradiction:did not open on fourth alternating write"
70286ee206fc5ed7e6853a3a61620d9483e6fd15dd7eacc067f7050ab8213c12,0.2,1,1.2,1,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
745a4aeacfc23edaffe3794814709c18dd65844bb5ef47843e75917f8a8d2347,0.2,1,1.2,1,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
5115059a32956cfc19e174d3bfa1ca1044bd7f0eccba48c42f961f426bb507fd,0.2,1,1.2,1,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
33d06d4d421fb92302436b762b61e91d31779bcc9935b76d9544fa1dce02cb8a,0.2,1,1.2,1,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
c91191a93c51fe429f9d8e5c5ed27d78d14dabaf17454652a1f16f6a934e2934,0.2,1,1.2,1,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
f0ffef71aea1563a55908276256abb6f0062acf5d7f76595deaf0f5f647f86d2,0.2,1,1.2,1,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,false,true,true,false,0.433333,0.966667,"completion:recall=0.4333, contamination=0.9667;contradiction:did not open on fourth alternating write"
c8aca37ff81ee23f49f2d9607e8b26813a57af5bd78001c892daf48371dbc65c,0.2,1,1.2,2,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
2aef4aebb3324adfc049110f94878b44ef72583c6aba7b7208ac7349919ee66e,0.2,1,1.2,2,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
bf429e5a7151b6c8719fd2cbda04cd5c43bb36acb2b5d16f503ecacd8488f206,0.2,1,1.2,2,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
7a3e0e37fb460dab0d38ccc047ea2d57dba11425f7469b733fa7d808f5b17b46,0.2,1,1.2,2,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
6fd1db9538914ecb0daed61aebd5018b2691debb22c6072ba583e7d740a655c2,0.2,1,1.2,2,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
427b1af838d4650fef03183b819eac10ff069b2e2506afab36c1d76c12ec23da,0.2,1,1.2,2,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
03b78498f34bbd0786559fbc1c1d0df1ce41579ce5bca26619e1aa4f8950b0a5,0.2,1,1.2,2,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
dd135cdbdd5f769763ba0f02fa8c2308c778efcac6ff7454debac8a9d38466d4,0.2,1,1.2,2,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
31586b7267dd894af566677da255e44779ce4f6d217076ccb3535d4304f803b1,0.2,1,1.2,2,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,false,false,true,true,false,0.000000,0.000000,"completion:recall=0.0000, contamination=0.0000;reinforcement:b was not monotone;contradiction:did not open on fourth alternating write"
5ce2730133f2432a5fcd6737f3c3009de7d18677d2bf3fd909deb58f2157f180,0.2,1.4,0.6,0.5,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
7e6deac8ba4f211a08be26b679a3abffb648d306f281727ae68c5b848b4c9a28,0.2,1.4,0.6,0.5,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
7ba7caedf98252c6df5369f0bae8e42512773efef9e207798b4477d12b704519,0.2,1.4,0.6,0.5,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
bfaf20ae3d660660cbb800b52e295120f77b8ca30656243479321bb8a5ad2a03,0.2,1.4,0.6,0.5,0.15,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
5003bbd4fbb286842c8f019e3b72d6f0a97a7d647b54b8fb3e0ce807980818c0,0.2,1.4,0.6,0.5,0.15,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
a18f6e1c55fc5d10679c1c817afd089187b04da45b82c6e40ef8a193a41e054a,0.2,1.4,0.6,0.5,0.15,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
19d95cf762b82ecc4dc436479562b3e1b3746b04a445449f4975881dda36f924,0.2,1.4,0.6,0.5,0.3,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
28c94a81c22e84d0cb6953ac64efb0fe7e86e454b9085451da5af926b9ebebcb,0.2,1.4,0.6,0.5,0.3,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
72d5cb7ca927524dfb7d8a585893edba7a7599c5387097493b89fb1b2f97821c,0.2,1.4,0.6,0.5,0.3,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
444e8eb5994c30a5f813b021acbdb074eaa7d33372d155bd68d8bef1d2060a2c,0.2,1.4,0.6,1,0.05,0,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
8ab70700114107312ef39728fbf6f65cfeaa946227618f2f41f6e305fbb1fc61,0.2,1.4,0.6,1,0.05,0.001,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
be7c99e7ae3f75a775146be42746d4c4f5aee0a0d29fdc5787a9bf3c24f15c26,0.2,1.4,0.6,1,0.05,0.002,0.4,0.01,0.6,0.05,0.25,20,true,false,true,true,true,true,false,0.422222,0.966667,"completion:recall=0.4222, contamination=0.9667"
